Model,MAE,RMSE,R2
Random Forest,0.4074904191616534,0.6088923997153738,0.9560619383055052
Extra Trees,0.4388776447105336,0.6633243777517606,0.9478551161302364
Gradient Boosting,0.8001219935870003,1.0043548942755793,0.8804542369287087
AdaBoost,8.170562843208932,8.506412751965554,-7.575366530638483
